datetime,tempmax,temp,tempmin,humidity,windspeed,winddir,precip,risk_label,risk_level
2024-01-29 00:00:00,27.98,25.478,23.56,70.125,6.344,17.212,0,1,0
2024-01-30 00:00:00,27.87,25.307,23.28,70.833,7.573,18.364,0,1,0
2024-01-31 00:00:00,27.68,25.211,23.33,72.792,6.348,42.818,0,1,0
2024-02-01 00:00:00,27.66,25.165,23.27,73.875,5.207,54.899,0.15,1,0
2024-02-02 00:00:00,26.95,24.723,23.16,75.667,3.856,106.92,0.14,1,0
2024-02-03 00:00:00,25.17,24.268,23.68,77.333,1.834,169.004,0,1,0
2024-02-04 00:00:00,24.54,23.696,22.78,83.917,2.62,259.643,1.92,1,0
2024-02-05 00:00:00,24.63,24.187,23.66,81.333,4.662,260.109,1.693,2,1.5
2024-02-06 00:00:00,24.87,24.591,24.39,69.5,3.512,281.27,0.75,2,1.5
2024-02-07 00:00:00,25.43,24.114,23.19,69.125,3.185,109.605,2.75,2,2.3
2024-02-08 00:00:00,24.91,23.721,22.72,68.125,2.952,47.752,0,1,0
2024-02-09 00:00:00,24.38,23.189,22.21,68.625,2.929,62.849,0,1,0
2024-02-10 00:00:00,25.22,23.688,22.35,68.75,3.934,175.953,0,2,1.8
2024-02-11 00:00:00,24.59,23.685,22.87,75.375,3.465,206.285,0,2,1.8
2024-02-12 00:00:00,24.01,23.426,22.75,74.625,3.061,310.765,0,2,3.0
2024-02-13 00:00:00,24.65,23.73,22.93,76.625,2.431,212.141,0,2,1.1
2024-02-14 00:00:00,25.22,23.675,22.37,71.375,2.512,91.462,0,2,1.7
2024-02-15 00:00:00,24.92,23.558,22.63,77.75,3.586,130.733,0,2,1.0
2024-02-16 00:00:00,23.95,23.362,22.66,79.125,2.981,234.148,0,1,0
2024-02-17 00:00:00,23.84,23.339,22.9,80.5,2.4,247.154,0,1,0
2024-02-18 00:00:00,24.18,23.399,22.88,83.875,1.594,184.55,4.26,1,0
2024-02-19 00:00:00,24.05,23.34,22.46,82.75,2.081,194.538,1.5,1,0
2024-02-20 00:00:00,24.88,23.892,23,76.25,3.23,167.753,0,2,1.5
2024-02-21 00:00:00,24.87,23.445,22.29,69.625,4.319,122.076,0,2,3.0
2024-02-22 00:00:00,23.91,22.89,21.9,70.25,3.354,70.73,0,2,2.0
2024-02-23 00:00:00,23.08,22.254,21.32,71.375,2.269,218.845,0,1,7.0
2024-02-24 00:00:00,23.41,22.716,21.83,72,3.704,219.018,0,3,10.0
2024-02-25 00:00:00,24.53,23.124,22.02,70.125,3.383,159.48,0,3,15.0
2024-02-26 00:00:00,23.89,23.056,22.19,70.25,4.196,219.804,0,3,7.0
2024-02-27 00:00:00,25.61,23.626,22.19,66,3.948,42.767,0,3,25.0
2024-02-28 00:00:00,25.57,24.239,23.15,65,4.909,75.015,0,1,0
2024-02-29 00:00:00,24.68,23.968,22.91,66.875,4.118,182.865,0,1,0
2024-03-01 00:00:00,23.88,23.315,22.55,68.917,4.25,328.364,0,1,0
2024-03-02 00:00:00,25.71,23.408,21.51,69.5,2.398,165.077,0,1,0
2024-03-03 00:00:00,25.37,23.17,21.06,69.333,2.556,167.787,0,1,0
2024-03-04 00:00:00,25.42,23.336,21.36,70.625,2.304,160.598,0,1,0
2024-03-05 00:00:00,25.13,23.64,21.85,72.542,2.34,157.177,0,1,0
2024-03-06 00:00:00,25.84,23.875,22.32,73.458,2.202,152.346,0,2,1.0
2024-03-07 00:00:00,24.28,23.785,23.44,73.875,1.384,166.984,1.19,1,0
2024-03-08 00:00:00,24.49,23.953,23.25,74.708,1.792,181.333,0.75,1,0
2024-03-09 00:00:00,26.24,24.362,22.84,74.292,2.388,152.394,0,1,0
2024-03-10 00:00:00,26.1,24.426,23.11,77.167,2.324,148.224,0,2,2.5
2024-03-11 00:00:00,28.41,25.327,22.44,68.292,3.07,82.16,0,2,2.0
2024-03-12 00:00:00,28.3,25.668,23.26,65.167,3.973,66.83,0,1,0
2024-03-13 00:00:00,26.82,24.196,21.83,68.667,2.774,122.37,0,2,1.1
2024-03-14 00:00:00,26.28,24.172,22.66,74.708,2.321,170.446,0,1,0
