datetime,tempmax,temp,tempmin,humidity,windspeed,winddir,precip,risk_label,risk_level
2024-01-09,29.32,26.92,24.64,80.0,2.939,289.744,0.46,0,0
2024-01-10,28.99,26.849,25.43,80.0,1.966,224.916,0.85,0,0
2024-01-11,28.4,26.422,24.97,80.0,1.661,193.426,2.02,0,0
2024-01-12,29.25,26.262,23.4,80.0,1.482,249.503,1.59,0,0
2024-01-13,28.03,26.51,24.94,80.0,1.358,151.081,0.48,0,0
2024-01-14,29.28,26.924,24.2,77.417,2.061,148.999,0.0,0,0
2024-01-15,29.13,26.862,24.87,73.5,2.348,262.597,0.0,0,0
2024-01-16,29.2,26.847,24.68,77.417,2.388,241.34,0.0,0,0
2024-01-17,29.36,27.2,24.51,69.792,2.128,154.077,0.0,0,0
2024-01-18,29.92,27.733,26.02,76.958,2.2,183.677,0.1,0,0
2024-01-19,29.23,27.302,25.27,75.625,2.078,218.693,0.67,0,0
2024-01-20,30.83,27.513,24.61,71.792,2.127,109.904,0.0,0,0
2024-01-21,30.89,27.785,25.14,64.458,2.025,105.046,0.0,0,0
2024-01-22,30.71,28.09,25.84,68.083,1.694,144.474,0.0,0,0
2024-01-23,29.58,27.66,25.8,61.0,1.8,192.953,0.14,0,0
2024-01-24,29.45,27.46,25.2,65.625,2.032,260.997,1.3,0,0
2024-01-25,29.0,27.346,25.41,69.375,1.948,222.296,0.5,0,0
2024-01-26,29.55,27.177,24.99,73.083,2.073,191.003,0.5,0,0
2024-01-27,29.12,26.897,24.72,69.208,1.687,240.414,0.0,0,0
2024-01-28,29.99,27.45,24.94,70.917,2.031,115.057,0.12,0,0
2024-01-29,31.45,27.97,25.44,73.542,2.39,89.129,0.13,0,0
2024-01-30,31.2,27.79,25.38,72.292,2.265,81.953,0.0,0,0
2024-01-31,30.15,27.421,24.55,67.292,1.999,103.043,0.0,0,0
2024-02-01,30.14,27.524,25.09,73.625,1.481,168.563,1.21,0,0
2024-02-02,28.55,26.833,24.83,76.375,1.748,202.647,1.27,0,0
2024-02-03,28.25,26.458,25.08,80.083,1.696,209.298,4.0,0,0
2024-02-04,28.47,26.872,25.04,75.5,2.895,259.388,9.07,0,0
2024-02-05,29.83,27.229,24.43,70.792,3.854,275.881,0.0,0,0
2024-02-06,29.49,27.074,24.66,72.0,1.853,239.08,0.39,0,0
2024-02-07,30.6,27.798,25.12,73.167,3.114,71.958,0.0,0,0
2024-02-08,31.02,27.513,24.83,66.833,2.079,105.355,0.91,0,0
2024-02-09,31.53,27.879,24.9,70.25,2.096,116.279,0.0,0,0
2024-02-10,30.6,27.593,24.76,68.0,1.98,157.27,0.6,0,0
2024-02-11,30.87,27.898,25.75,64.5,2.462,170.509,0.0,0,0
2024-02-12,30.18,27.702,25.17,65.708,2.279,272.484,0.0,0,0
2024-02-13,28.92,27.501,25.29,68.917,2.112,157.144,0.26,0,0
2024-02-14,31.95,28.149,25.12,68.375,2.203,100.696,0.0,0,0
2024-02-15,31.03,28.41,26.54,69.875,1.78,180.15,0.9,0,0
2024-02-16,31.42,28.298,26.24,68.458,2.302,187.315,0.79,0,0
2024-02-17,29.98,27.558,25.34,74.917,1.99,228.135,2.31,0,0
